t	x	y	theta	xref	yref
8.670000	0.730465	-1.393984	6.585279	1.022177	-1.219912
8.790000	0.830921	-1.330017	6.679661	1.111165	-1.139448
8.880000	0.912999	-1.273557	6.740530	1.193839	-1.052511
8.970000	0.978358	-1.229245	6.773868	1.269729	-0.959592
9.090000	1.074610	-1.143385	6.862395	1.269729	-0.959592
9.180000	1.137242	-1.084689	6.907408	1.338405	-0.861221
9.270000	1.191911	-1.026549	6.954462	1.399475	-0.757957
9.390000	1.264992	-0.937799	7.025226	1.452594	-0.650385
9.480000	1.319607	-0.853242	7.101120	1.497458	-0.539118
9.570000	1.363495	-0.786493	7.142738	1.533814	-0.424788
9.660000	1.406855	-0.702741	7.209216	1.533814	-0.424788
9.780000	1.457301	-0.591684	7.284652	1.561454	-0.308044
9.870000	1.486566	-0.517020	7.332821	1.580222	-0.189549
9.960000	1.513366	-0.435590	7.386007	1.590010	-0.069977
10.080000	1.541123	-0.307783	7.480537	1.590764	-0.049992
10.170000	1.557344	-0.229495	7.521684	1.582479	-0.169677
10.260000	1.566870	-0.187984	7.536019	1.582479	-0.169677
10.380000	1.573740	-0.191338	7.510538	1.565202	-0.288398
10.470000	1.573249	-0.231752	7.464692	1.539031	-0.405480
10.560000	1.567920	-0.287362	7.406949	1.504115	-0.520258
10.680000	1.547102	-0.365709	7.351168	1.460652	-0.632080
10.770000	1.533154	-0.416607	7.307724	1.408889	-0.740311
10.860000	1.507130	-0.489818	7.250014	1.408889	-0.740311
10.980000	1.467806	-0.587977	7.162044	1.349121	-0.844335
11.070000	1.437599	-0.655503	7.090355	1.281687	-0.943561
11.160000	1.400846	-0.728104	7.003981	1.206970	-1.037426
11.280000	1.332904	-0.836710	6.860260	1.125395	-1.125395
11.370000	1.290331	-0.902634	6.744626	1.037426	-1.206970
11.460000	1.232832	-0.976739	6.595188	1.037426	-1.206970
11.580000	1.143094	-1.068308	6.364277	0.943561	-1.281687
11.670000	1.079741	-1.125177	6.181997	0.844335	-1.349121
11.760000	1.020247	-1.182595	5.958698	0.740311	-1.408889
11.880000	0.916877	-1.258381	5.578953	0.632080	-1.460652
11.970000	0.854728	-1.304024	5.324585	0.520258	-1.504115
12.060000	0.775794	-1.350470	5.018981	0.520258	-1.504115
12.150000	0.689170	-1.392562	4.710627	0.405480	-1.539031
12.270000	0.576371	-1.442771	4.363797	0.288398	-1.565202
12.360000	0.504938	-1.475633	4.188067	0.169677	-1.582479
12.450000	0.414165	-1.502619	3.986239	0.049992	-1.590764
12.570000	0.311906	-1.534300	3.821803	-0.069977	-1.590010
12.660000	0.220843	-1.551079	3.686536	-0.069977	-1.590010
12.750000	0.125734	-1.562140	3.566918	-0.189549	-1.580222
12.870000	0.001758	-1.568363	3.436021	-0.308044	-1.561454
12.960000	-0.076746	-1.570253	3.371045	-0.424788	-1.533814
13.050000	-0.171676	-1.560984	3.277752	-0.539118	-1.497458
13.170000	-0.278976	-1.549347	3.201425	-0.650385	-1.452594
13.260000	-0.369305	-1.529560	3.124760	-0.650385	-1.452594
13.350000	-0.461439	-1.503847	3.052593	-0.731444	-1.413513
13.470000	-0.578973	-1.468086	2.982074	-0.835841	-1.354400
13.560000	-0.666308	-1.443161	2.947862	-0.935489	-1.287591
13.650000	-0.737602	-1.398660	2.858080	-1.029822	-1.213465
13.740000	-0.803440	-1.362073	2.806943	-1.118302	-1.132444
13.860000	-0.898481	-1.290861	2.701328	-1.118302	-1.132444
13.950000	-0.969870	-1.230443	2.626072	-1.200428	-1.044989
14.040000	-1.039311	-1.173836	2.580792	-1.275733	-0.951595
14.160000	-1.120056	-1.101804	2.526547	-1.343790	-0.852795
14.250000	-1.180234	-1.037554	2.472174	-1.404210	-0.749149
14.340000	-1.234051	-0.976632	2.428519	-1.456652	-0.641246
14.460000	-1.304198	-0.878827	2.346749	-1.456652	-0.641246
14.550000	-1.354307	-0.800258	2.288780	-1.500816	-0.529699
14.640000	-1.398628	-0.718594	2.227321	-1.536453	-0.415142
14.760000	-1.447067	-0.618458	2.159584	-1.563359	-0.298227
14.850000	-1.479374	-0.534924	2.099961	-1.581382	-0.179617
14.940000	-1.506956	-0.457124	2.053073	-1.590419	-0.059986
15.060000	-1.536165	-0.339239	1.969376	-1.590419	-0.059986
15.150000	-1.553831	-0.247103	1.910801	-1.590419	0.059986
15.240000	-1.564978	-0.154429	1.849214	-1.581382	0.179617
15.360000	-1.573669	-0.038359	1.779583	-1.563359	0.298227
15.450000	-1.572909	0.063808	1.713527	-1.536453	0.415142
15.540000	-1.566569	0.177704	1.646820	-1.500816	0.529699
15.660000	-1.551031	0.286814	1.576653	-1.500816	0.529699
15.750000	-1.533905	0.370923	1.523223	-1.456652	0.641246
15.840000	-1.510723	0.453598	1.464703	-1.404210	0.749149
15.930000	-1.486496	0.528005	1.414173	-1.343790	0.852795
